""	"Lionel Messi"	"38"	"166"	"200"	"Arjantin,İspanya"	"Inter Miami CF"	"£300.000.000"	"AM/ST RC"	"75,32"	"75,32"
""	"Kylian Mbappé"	"26"	"196"	"197"	"Fransa"	"R. Madrid"	"£174.960.000"	"AM/ST RL"	"83"	"83,06"
""	"Cristiano Ronaldo"	"40"	"150"	"195"	"Portekiz"	"Al-Nassr Football Club"	"£300.000.000"	"ST "	"68,62"	"68,62"
""	"Erling Haaland"	"25"	"184"	"195"	"Norveç,İngiltere"	"Manchester City"	"£179.787.616"	"ST "	"79,71"	"81,06"
""	"Lamine Yamal"	"18"	"175"	"194"	"İspanya,Fas,Ekvator Ginesi"	"Barcelona"	"£270.000.000"	"M/AM R"	"77,31"	"84,17"
""	"Manuel Neuer"	"39"	"140"	"193"	"Almanya"	"FC Bayern München"	"£2.086.937"	"GK "	"69,28"	"69,28"
""	"Robert Lewandowski"	"37"	"160"	"190"	"Polonya"	"Barcelona"	"£4.935.993"	"ST "	"72,1"	"72,1"
""	"Kevin De Bruyne"	"34"	"169"	"190"	"Belçika"	"Parthenope"	"£300.000.000"	"M/AM C"	"75,25"	"75,25"
""	"Neymar"	"33"	"142"	"190"	"Brezilya"	"SAN"	"£300.000.000"	"AM/ST LC"	"69,76"	"69,76"
""	"Vinícius Júnior"	"25"	"176"	"190"	"Brezilya,İspanya"	"R. Madrid"	"£92.349.656"	"AM/ST L"	"77,24"	"78,95"
""	"Harry Kane"	"32"	"187"	"190"	"İngiltere,İrlanda Cumhuriyeti"	"FC Bayern München"	"£300.000.000"	"ST C"	"79,48"	"79,48"
""	"Luca Williams-Barnett"	"17"	"106"	"190"	"İngiltere"	"Tottenham Hotspur"	"£20.195.200"	"AM/ST RLC"	"55,95"	"79,25"
""	"Ethan Nwaneri"	"18"	"143"	"188"	"İngiltere,Nijerya"	"Arsenal"	"£59.392.666"	"M/AM/ST RLC"	"68"	"84,28"
""	"Bukayo Saka"	"24"	"184"	"188"	"İngiltere,Nijerya"	"Arsenal"	"£165.693.616"	"AM RL"	"78,4"	"79,4"
